ID,Text,From,To,Context
"Classical-Arabic-ɬˤ","ɬˤ → dɬˤ → dˤ","ɬˤ","dɬˤ",
"Classical-Arabic-ɬˤ","ɬˤ → dɬˤ → dˤ","dɬˤ","dˤ",
Classical-Arabic-m,"m → n / “in certain contexts, notably in the nunation”",m,n,
"Classical-Arabic-Vj,wV","V{j,w}V → aː / some sequences",VjV|VwV,"aː",
Cypriot-Arabic-S+-voice,"S[+ voice] → S[- voice]","S[+ voice]","S[- voice]",
Cypriot-Arabic-q,"q → k",q,k,
Cypriot-Arabic-S,"S → [+ voice] / {V,R}_V",S,"[+ voice]",V_V|R_V
Cypriot-Arabic-S_2,"S → [+ voice] / V_R",S,"[+ voice]",V_R
Cypriot-Arabic-S_3,"S → F / _S",S,F,_S
"Cypriot-Arabic-f-θ","f θ → p t / F_",f,p,F_
"Cypriot-Arabic-f-θ","f θ → p t / F_","θ",t,F_
Cypriot-Arabic-k-x,"k x → c ç / _{j,E}",k,c,_j|_E
Cypriot-Arabic-k-x,"k x → c ç / _{j,E}",x,"ç",_j|_E
"Cypriot-Arabic-l,nj","{l,n}j → jː",lj|nj,"jː",
Cypriot-Arabic-j,"j → c / {O,r}",j,c,
Cypriot-Arabic-j_2,"j → ∅ / Ck_$",j,"∅",Ck_$
Cypriot-Arabic-nx,"nx → xː",nx,"xː",
"Cypriot-Arabic-∅","∅ → F / N_{O,r} ! m_f","∅",F,N_O|N_r ! m_f
"Cypriot-Arabic-ðˤ,dˤ","{ðˤ,dˤ} → ð","ðˤ|dˤ","ð",
"Cypriot-Arabic-tˤ-sˤ","tˤ sˤ → s t","tˤ",s,
"Cypriot-Arabic-tˤ-sˤ","tˤ sˤ → s t","sˤ",t,
"Cypriot-Arabic-ʔ-h","ʔ h → ∅ x","ʔ","∅",
"Cypriot-Arabic-ʔ-h","ʔ h → ∅ x",h,x,
"Cypriot-Arabic-∅_2","∅ → i / #al$_z","∅",i,#al$_z
"Cypriot-Arabic-dʒ","dʒ → z","dʒ",z,
"Cypriot-Arabic-ɣ-ħ","ɣ ħ → ʕ x","ɣ","ʕ",
"Cypriot-Arabic-ɣ-ħ","ɣ ħ → ʕ x","ħ",x,
Cypriot-Arabic-w,"w → v / _%",w,v,_%
"Cypriot-Arabic-wː","wː → v","wː",v,
"Cypriot-Arabic-jː","j(ː) → ∅ / V_E","j|jː","∅",V_E
